1,397
11,331
21,267
31,243
41,129
51,138
61,129
71,148
81,105
91,129
101,124
111,117
121,102
131,117
141,124
151,129
161,126
171,154
181,152
191,115
201,87
211,101
221,111
231,92
241,96
251,115
261,107
271,109
281,120
291,122
301,95
311,99
321,109
331,116
341,112
351,123
361,145
371,136
381,151
391,263
401,257
411,252
421,122
431,136
441,183
451,137
461,180
471,217
481,158
491,212
501,137
511,172
521,123
531,139
541,202
551,196
561,227
571,139
581,193
591,149
601,215
611,137
621,201
631,141
641,210
651,184
661,196
671,196
681,201
691,163
701,170
711,201
721,202
731,224
741,231
751,339
761,237
771,268
781,278
791,218
801,189
811,164
821,175
831,246
841,160
851,170
861,159
871,200
881,165
891,212
901,186
911,205
921,165
931,337
941,184
951,227
961,189
971,182
981,188
991,185
