1,47
11,45
21,19
31,35
41,27
51,27
61,26
71,27
81,38
91,33
101,33
111,29
121,29
131,39
141,34
151,46
161,43
171,43
181,43
191,44
201,42
211,45
221,38
231,39
241,42
251,43
261,49
271,39
281,53
291,37
301,59
311,53
321,40
331,75
341,71
351,44
361,63
371,48
381,81
391,47
401,52
411,56
421,81
431,58
441,57
451,85
461,64
471,66
481,61
491,96
501,104
511,69
521,83
531,73
541,70
551,100
561,78
571,81
581,105
591,82
601,81
611,98
621,86
631,88
641,98
651,103
661,95
671,115
681,94
691,89
701,92
711,92
721,94
731,99
741,122
751,97
761,99
771,100
781,104
791,105
801,104
811,106
821,111
831,107
841,115
851,111
861,114
871,114
881,115
891,113
901,117
911,118
921,122
931,120
941,119
951,124
961,119
971,123
981,124
991,128
